GID,GO,EVIDENCE
SEN0001,GO:0003674,IEA
SEN0001,GO:0003824,IEA
SEN0001,GO:0004072,IEA
SEN0001,GO:0004412,IEA
SEN0001,GO:0005575,IEA
SEN0001,GO:0005622,IEA
SEN0001,GO:0005623,IEA
SEN0001,GO:0005737,IEA
SEN0001,GO:0006082,IEA
SEN0001,GO:0006520,IEA
SEN0001,GO:0006553,IEA
SEN0001,GO:0006793,IEA
SEN0001,GO:0006796,IEA
SEN0001,GO:0006807,IEA
SEN0001,GO:0008150,IEA
SEN0001,GO:0008152,IEA
SEN0001,GO:0008652,IEA
SEN0001,GO:0009058,IEA
SEN0001,GO:0009066,IEA
SEN0001,GO:0009067,IEA
SEN0001,GO:0009069,IEA
SEN0001,GO:0009070,IEA
SEN0001,GO:0009085,IEA
SEN0001,GO:0009089,IEA
SEN0001,GO:0009090,IEA
SEN0001,GO:0009092,IEA
SEN0001,GO:0009987,IEA
SEN0001,GO:0016053,IEA
SEN0001,GO:0016301,IEA
SEN0001,GO:0016310,IEA
SEN0001,GO:0016491,IEA
SEN0001,GO:0016614,IEA
SEN0001,GO:0016616,IEA
SEN0001,GO:0016740,IEA
SEN0001,GO:0016772,IEA
SEN0001,GO:0016774,IEA
SEN0001,GO:0019202,IEA
SEN0001,GO:0019752,IEA
SEN0001,GO:0043436,IEA
SEN0001,GO:0043648,IEA
SEN0001,GO:0044237,IEA
SEN0001,GO:0044238,IEA
SEN0001,GO:0044249,IEA
SEN0001,GO:0044281,IEA
SEN0001,GO:0044283,IEA
SEN0001,GO:0044424,IEA
SEN0001,GO:0044464,IEA
SEN0001,GO:0046394,IEA
SEN0001,GO:0046451,IEA
SEN0001,GO:0055114,IEA
SEN0001,GO:0071704,IEA
SEN0001,GO:1901564,IEA
SEN0001,GO:1901566,IEA
SEN0001,GO:1901576,IEA
SEN0001,GO:1901605,IEA
SEN0001,GO:1901607,IEA
SEN0002,GO:0000096,IEA
SEN0002,GO:0000097,IEA
SEN0002,GO:0003674,IEA
SEN0002,GO:0003824,IEA
SEN0002,GO:0004413,IEA
SEN0002,GO:0005575,IEA
SEN0002,GO:0005622,IEA
SEN0002,GO:0005623,IEA
SEN0002,GO:0005737,IEA
SEN0002,GO:0005829,IEA
SEN0002,GO:0006082,IEA
SEN0002,GO:0006520,IEA
SEN0002,GO:0006555,IEA
SEN0002,GO:0006566,IEA
SEN0002,GO:0006790,IEA
SEN0002,GO:0006793,IEA
SEN0002,GO:0006796,IEA
SEN0002,GO:0006807,IEA
SEN0002,GO:0008150,IEA
SEN0002,GO:0008152,IEA
SEN0002,GO:0008652,IEA
SEN0002,GO:0009058,IEA
SEN0002,GO:0009066,IEA
SEN0002,GO:0009067,IEA
SEN0002,GO:0009069,IEA
SEN0002,GO:0009086,IEA
SEN0002,GO:0009088,IEA
SEN0002,GO:0009092,IEA
SEN0002,GO:0009987,IEA
SEN0002,GO:0016053,IEA
SEN0002,GO:0016301,IEA
SEN0002,GO:0016310,IEA
SEN0002,GO:0016740,IEA
SEN0002,GO:0016772,IEA
SEN0002,GO:0016773,IEA
SEN0002,GO:0019202,IEA
SEN0002,GO:0019752,IEA
SEN0002,GO:0043436,IEA
SEN0002,GO:0044237,IEA
SEN0002,GO:0044238,IEA
SEN0002,GO:0044249,IEA
SEN0002,GO:0044272,IEA
SEN0002,GO:0044281,IEA
SEN0002,GO:0044283,IEA
SEN0002,GO:0044424,IEA
SEN0002,GO:0044444,IEA
SEN0002,GO:0044464,IEA
SEN0002,GO:0046394,IEA
SEN0002,GO:0071704,IEA
SEN0002,GO:1901564,IEA
SEN0002,GO:1901566,IEA
SEN0002,GO:1901576,IEA
SEN0002,GO:1901605,IEA
SEN0002,GO:1901607,IEA
SEN0003,GO:0003674,IEA
SEN0003,GO:0003824,IEA
SEN0003,GO:0004795,IEA
SEN0003,GO:0005575,IEA
SEN0003,GO:0005622,IEA
SEN0003,GO:0005623,IEA
SEN0003,GO:0005737,IEA
SEN0003,GO:0005829,IEA
SEN0003,GO:0006082,IEA
SEN0003,GO:0006520,IEA
SEN0003,GO:0006566,IEA
