GID,GO,EVIDENCE
SEN_RS02390,GO:0006974,IEA
SEN_RS02390,GO:0006281,IEA
SEN_RS02390,GO:0006310,IEA
SEN_RS02390,GO:0005829,IEA
SEN_RS02390,GO:0046872,IEA
SEN_RS02390,GO:0003677,IEA
SEN_RS19960,GO:0005829,IEA
SEN_RS03740,GO:0005975,IEA
SEN_RS03740,GO:0006012,IEA
SEN_RS03740,GO:0005829,IEA
SEN_RS03740,GO:0016853,IEA
SEN_RS03740,GO:0003978,IEA
SEN_RS18660,GO:0009401,IEA
SEN_RS18660,GO:0005886,IEA
SEN_RS18660,GO:0016020,IEA
SEN_RS06930,GO:0005829,IEA
SEN_RS17175,GO:0055085,IEA
SEN_RS17175,GO:0016020,IEA
SEN_RS17175,GO:0005886,IEA
SEN_RS17175,GO:0022857,IEA
SEN_RS17175,GO:0005215,IEA
SEN_RS15830,GO:0005829,IEA
SEN_RS15830,GO:0050355,IEA
SEN_RS05735,GO:0006355,IEA
SEN_RS05735,GO:0005829,IEA
SEN_RS05735,GO:0005737,IEA
SEN_RS05735,GO:0003677,IEA
SEN_RS07435,GO:0005886,IEA
SEN_RS07435,GO:0005215,IEA
SEN_RS13355,GO:0032259,IEA
SEN_RS13355,GO:0008033,IEA
SEN_RS13355,GO:0030488,IEA
SEN_RS13355,GO:0005886,IEA
SEN_RS13355,GO:0005737,IEA
SEN_RS13355,GO:0003676,IEA
SEN_RS13355,GO:0016740,IEA
SEN_RS13355,GO:0008168,IEA
SEN_RS13355,GO:0016430,IEA
SEN_RS10170,GO:0005829,IEA
SEN_RS10170,GO:0003677,IEA
SEN_RS12035,GO:0006813,IEA
SEN_RS12035,GO:0055085,IEA
SEN_RS12035,GO:0098655,IEA
SEN_RS12035,GO:0005886,IEA
SEN_RS12035,GO:0016020,IEA
SEN_RS12035,GO:0008324,IEA
SEN_RS12035,GO:0005215,IEA
SEN_RS13075,GO:0004792,IEA
SEN_RS13075,GO:0016740,IEA
SEN_RS02945,GO:0030288,IEA
SEN_RS02945,GO:0042597,IEA
SEN_RS11165,GO:0009279,IEA
SEN_RS14930,GO:0005829,IEA
SEN_RS07200,GO:0005829,IEA
SEN_RS07710,GO:0045333,IEA
SEN_RS07710,GO:0022904,IEA
SEN_RS07710,GO:0009326,IEA
SEN_RS07710,GO:0005886,IEA
SEN_RS07710,GO:0016020,IEA
SEN_RS07710,GO:0008863,IEA
SEN_RS07710,GO:0009055,IEA
SEN_RS15620,GO:0006520,IEA
SEN_RS15620,GO:0019346,IEA
SEN_RS15620,GO:0005829,IEA
SEN_RS15620,GO:0030170,IEA
SEN_RS15620,GO:0003824,IEA
SEN_RS15620,GO:0004121,IEA
SEN_RS08120,GO:0006508,IEA
SEN_RS08120,GO:0004252,IEA
SEN_RS08120,GO:0008233,IEA
SEN_RS08120,GO:0016787,IEA
SEN_RS08120,GO:0008236,IEA
SEN_RS12855,GO:0006355,IEA
SEN_RS12855,GO:0005829,IEA
SEN_RS12855,GO:0005737,IEA
SEN_RS21465,GO:0008033,IEA
SEN_RS21465,GO:0008616,IEA
SEN_RS21465,GO:0005829,IEA
SEN_RS21465,GO:0005737,IEA
SEN_RS21465,GO:0051539,IEA
SEN_RS21465,GO:0046872,IEA
SEN_RS21465,GO:0016491,IEA
SEN_RS21465,GO:0052693,IEA
SEN_RS21465,GO:0051536,IEA
SEN_RS22235,GO:0055085,IEA
SEN_RS22235,GO:0008643,IEA
SEN_RS22235,GO:0005886,IEA
SEN_RS22235,GO:0016020,IEA
SEN_RS22235,GO:0022857,IEA
SEN_RS22235,GO:0005215,IEA
SEN_RS24665,GO:0005886,IEA
SEN_RS01870,GO:0055085,IEA
SEN_RS01870,GO:0005886,IEA
SEN_RS01870,GO:0016020,IEA
