GID,SYMBOL,GENENAME
SEN_RS05610,flhC,flagellar transcriptional regulator FlhC
SEN_RS00415,SEN_RS00415,hypothetical protein
SEN_RS02390,recR,recombination protein RecR
SEN_RS19960,SEN_RS19960,helix-turn-helix transcriptional regulator
SEN_RS03740,galE,UDP-glucose 4-epimerase GalE
SEN_RS18660,SEN_RS18660,PTS sugar transporter subunit IIC
SEN_RS09205,SEN_RS09205,DUF333 domain-containing protein
SEN_RS06930,SEN_RS06930,diguanylate phosphodiesterase
SEN_RS17175,tsgA,MFS transporter TsgA
SEN_RS15830,SEN_RS15830,inorganic triphosphatase
SEN_RS05735,SEN_RS05735,YebC/PmpR family DNA-binding transcriptional regulator
SEN_RS07435,SEN_RS07435,MFS transporter
SEN_RS13355,trmN,tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase TrmN
SEN_RS10170,SEN_RS10170,hypothetical protein
SEN_RS12035,SEN_RS12035,SLC13 family permease
SEN_RS13075,sseA,3-mercaptopyruvate sulfurtransferase
SEN_RS02945,dsbG,thiol:disulfide interchange protein DsbG
SEN_RS11165,SEN_RS11165,fimbrial biogenesis outer membrane usher protein
SEN_RS14930,SEN_RS14930,transcriptional regulator
SEN_RS17435,SEN_RS17435,hypothetical protein
SEN_RS07200,SEN_RS07200,hypothetical protein
SEN_RS24155,SEN_RS24155,transposase family protein
SEN_RS07710,fdnI,formate dehydrogenase-N subunit gamma
SEN_RS03200,SEN_RS03200,DUF1266 domain-containing protein
SEN_RS15620,metC,cystathionine beta-lyase
SEN_RS08120,SEN_RS08120,serine protease
SEN_RS12855,SEN_RS12855,glycine cleavage system transcriptional repressor
SEN_RS21465,queG,tRNA epoxyqueuosine(34) reductase QueG
SEN_RS22235,mdtM,multidrug efflux MFS transporter MdtM
SEN_RS24665,SEN_RS24665,YoaK family small membrane protein
SEN_RS01870,SEN_RS01870,multidrug efflux MFS transporter
SEN_RS16575,ttdB,L(+)-tartrate dehydratase subunit beta
SEN_RS06835,cysB,HTH-type transcriptional regulator CysB
SEN_RS01285,SEN_RS01285,16S ribosomal RNA
SEN_RS15365,SEN_RS15365,oxidative damage protection protein
SEN_RS01495,SEN_RS01495,amidohydrolase
