"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"BP"	"GO:0046185"	"aldehyde catabolic process"	"7/247"	"18/2736"	0.000599097704486391	0.375799148773807	0.375799148773807	"dkgB/gcl/ykgA/yeaE/yeiG/dkgA/yhbO"	7
"BP"	"GO:0006081"	"cellular aldehyde metabolic process"	"12/247"	"48/2736"	0.000815182535301099	0.375799148773807	0.375799148773807	"dkgB/gcl/acnA/ykgA/pdxH/yeaE/yeiG/pdxB/dkgA/yhbO/rpe/yihS"	12
"BP"	"GO:0006950"	"response to stress"	"49/247"	"379/2736"	0.00398396667569158	0.896550661453069	0.896550661453069	"rihC/cueO/degP/iraP/allR/ykgI/entS/hcp/ybjX/cspD/ftsK/rmf/sulA/cspG/proQ/acnA/marR/gst/sufA/infC/xthA/yeaG/hflD/purB/cobU/sbmC/cpsB/nfo/eutN/bcp/purN/rseC/clpB/norW/cas1/casA/mazG/recC/yhbO/rtcB/asd/gntR/dctA/ibpA/asnA/katG/groS/groL/msrA"	49
"BP"	"GO:0006220"	"pyrimidine nucleotide metabolic process"	"7/247"	"24/2736"	0.00406112115451666	0.896550661453069	0.896550661453069	"carA/pyrH/cdsA/pyrC/ndk/mazG/pyrE"	7
"BP"	"GO:0042182"	"ketone catabolic process"	"5/247"	"14/2736"	0.00583438608320869	0.896550661453069	0.896550661453069	"dkgB/ykgA/yeaE/dkgA/yhbO"	5
"BP"	"GO:0051596"	"methylglyoxal catabolic process"	"5/247"	"14/2736"	0.00583438608320869	0.896550661453069	0.896550661453069	"dkgB/ykgA/yeaE/dkgA/yhbO"	5
"BP"	"GO:0009438"	"methylglyoxal metabolic process"	"5/247"	"15/2736"	0.008117725951586	0.970419689985469	0.970419689985469	"dkgB/ykgA/yeaE/dkgA/yhbO"	5
"BP"	"GO:0044282"	"small molecule catabolic process"	"24/247"	"165/2736"	0.0112002730971407	0.970419689985469	0.970419689985469	"rihC/fixB/araD/dkgB/fadE/ybaO/gcl/nagA/pflB/ykgA/astB/yeaE/yeiG/mazG/gudD/gcvH/dkgA/ackA/yhbO/rpe/xylB/rbsD/yihS/yihU"	24
"BP"	"GO:0009061"	"anaerobic respiration"	"9/247"	"43/2736"	0.0125683899084857	0.970419689985469	0.970419689985469	"erpA/dmsA/hyaC/hyaB/hyaA/acnA/torA/torC/frdB"	9
"BP"	"GO:0006221"	"pyrimidine nucleotide biosynthetic process"	"5/247"	"17/2736"	0.0144002357961132	0.970419689985469	0.970419689985469	"carA/pyrH/cdsA/pyrC/pyrE"	5
"MF"	"GO:0008081"	"phosphoric diester hydrolase activity"	"5/247"	"17/2736"	0.0144002357961132	0.970419689985469	0.970419689985469	"nfo/rtn/yfcE/yhjH/yjcC"	5
"BP"	"GO:0098754"	"detoxification"	"6/247"	"25/2736"	0.0207837596051935	0.970419689985469	0.970419689985469	"cueO/hcp/yeiG/bcp/yihU/katG"	6
"MF"	"GO:0015171"	"amino acid transmembrane transporter activity"	"8/247"	"40/2736"	0.0237166719061866	0.970419689985469	0.970419689985469	"metN/glnP/rhtA/ybjE/leuE/lysP/alaE/dctA"	8
"MF"	"GO:0046914"	"transition metal ion binding"	"24/247"	"179/2736"	0.0284437240059852	0.970419689985469	0.970419689985469	"araD/cueO/fhuA/erpA/map/ylbA/nagA/fur/hyaB/acnA/sufA/pyrC/yeiR/rhmA/yfcE/alaS/norR/casA/rplB/rpe/rtcB/torA/zraP/iadA"	24
"BP"	"GO:0003333"	"amino acid transmembrane transport"	"9/247"	"49/2736"	0.0284451527644844	0.970419689985469	0.970419689985469	"metN/glnP/rhtA/ybjE/proQ/leuE/lysP/alaE/dctA"	9
"MF"	"GO:0051537"	"2 iron, 2 sulfur cluster binding"	"5/247"	"20/2736"	0.0288607090379393	0.970419689985469	0.970419689985469	"erpA/sufA/bfd/frdB/fhuF"	5
