GID,CHROMOSOME
SEN_RS05610,1
SEN_RS00415,1
SEN_RS02390,1
SEN_RS19960,1
SEN_RS03740,1
SEN_RS18660,1
SEN_RS09205,1
SEN_RS06930,1
SEN_RS17175,1
SEN_RS15830,1
SEN_RS05735,1
SEN_RS07435,1
SEN_RS13355,1
SEN_RS10170,1
SEN_RS12035,1
SEN_RS13075,1
SEN_RS02945,1
SEN_RS11165,1
SEN_RS14930,1
SEN_RS17435,1
SEN_RS07200,1
SEN_RS24155,1
SEN_RS07710,1
SEN_RS03200,1
SEN_RS15620,1
SEN_RS08120,1
SEN_RS12855,1
SEN_RS21465,1
SEN_RS22235,1
SEN_RS24665,1
SEN_RS01870,1
SEN_RS16575,1
SEN_RS06835,1
SEN_RS01285,1
SEN_RS15365,1
SEN_RS01495,1
SEN_RS13360,1
SEN_RS15165,1
SEN_RS12040,1
SEN_RS14330,1
SEN_RS00900,1
SEN_RS16005,1
SEN_RS11170,1
SEN_RS20510,1
SEN_RS18125,1
SEN_RS18765,1
SEN_RS16300,1
SEN_RS03745,1
SEN_RS09210,1
SEN_RS05175,1
SEN_RS20995,1
SEN_RS00085,1
SEN_RS20260,1
SEN_RS18360,1
SEN_RS13365,1
SEN_RS10175,1
SEN_RS12045,1
SEN_RS00420,1
SEN_RS06045,1
SEN_RS22385,1
SEN_RS07910,1
SEN_RS11175,1
SEN_RS12500,1
SEN_RS17055,1
SEN_RS04195,1
SEN_RS19175,1
SEN_RS03205,1
SEN_RS01440,1
SEN_RS07975,1
SEN_RS04920,1
SEN_RS09220,1
SEN_RS20650,1
SEN_RS01875,1
SEN_RS00260,1
SEN_RS04640,1
SEN_RS21310,1
SEN_RS21810,1
SEN_RS14335,1
SEN_RS13370,1
SEN_RS08305,1
SEN_RS12050,1
SEN_RS19855,1
SEN_RS22020,1
SEN_RS00905,1
SEN_RS05390,1
SEN_RS11180,1
SEN_RS05615,1
SEN_RS03750,1
SEN_RS08225,1
SEN_RS09225,1
SEN_RS06935,1
SEN_RS16475,1
SEN_RS24005,1
SEN_RS13375,1
SEN_RS10180,1
SEN_RS12055,1
SEN_RS11185,1
SEN_RS14935,1
SEN_RS06715,1
SEN_RS18055,1
SEN_RS07210,1
SEN_RS16740,1
SEN_RS18240,1
SEN_RS03210,1
SEN_RS01445,1
SEN_RS15625,1
SEN_RS12860,1
SEN_RS09230,1
SEN_RS01880,1
SEN_RS05865,1
SEN_RS15170,1
SEN_RS19220,1
SEN_RS13380,1
SEN_RS08310,1
SEN_RS12060,1
SEN_RS14340,1
SEN_RS21665,1
SEN_RS00910,1
SEN_RS16010,1
SEN_RS11190,1
SEN_RS01365,1
SEN_RS19715,1
SEN_RS16305,1
SEN_RS00430,1
SEN_RS02400,1
SEN_RS03755,1
SEN_RS02910,1
SEN_RS09235,1
SEN_RS17560,1
SEN_RS21000,1
SEN_RS10185,1
SEN_RS07815,1
SEN_RS17965,1
SEN_RS13385,1
SEN_RS20770,1
SEN_RS12065,1
SEN_RS14345,1
SEN_RS16885,1
SEN_RS18460,1
SEN_RS24585,1
SEN_RS11195,1
SEN_RS06250,1
SEN_RS17800,1
SEN_RS24195,1
SEN_RS19180,1
SEN_RS04930,1
SEN_RS18500,1
SEN_RS06560,1
SEN_RS09240,1
SEN_RS01885,1
SEN_RS00235,1
SEN_RS04410,1
SEN_RS12070,1
SEN_RS08315,1
SEN_RS14350,1
SEN_RS21460,1
SEN_RS00915,1
SEN_RS05395,1
SEN_RS21165,1
